Date,Close,High,Low,Open,Volume
2020-05-13,259.5653076,264.7178967,257.1318694,263.6763127,144721100
2020-05-14,262.6716003,262.800631,251.6290041,257.1226649,121977900
2020-05-15,263.8790894,263.9251657,259.3256335,260.2750366,111146300
2020-05-18,271.9167786,273.5298442,269.7967607,270.1193513,119703800
2020-05-19,269.1239624,273.0321823,269.1055375,271.3177369,95189300
2020-05-20,273.6958618,274.5623111,272.4422924,272.6727304,85861700
2020-05-21,271.8062134,274.3779091,270.7093263,273.5667629,78293900
2020-05-22,272.3223877,272.4975228,270.2760973,271.520468,63958200
2020-05-26,275.6775513,278.5442144,272.3408138,278.3045499,88951400
2020-05-27,279.7793884,279.8162664,273.6405166,278.4797147,104817400
2020-05-28,279.2631531,282.8303282,278.5902641,280.8116894,90405200
2020-05-29,280.5074463,281.0973527,276.0369455,278.7929737,119090800
2020-06-01,281.6412964,282.249656,279.346143,279.8623219,55758300
2020-06-02,283.9732971,284.0194016,281.2264946,282.5630179,74267200
2020-06-03,287.752533,288.7111629,285.6878175,285.9643318,92567600
2020-06-04,286.9966736,288.5083603,284.8950803,286.7662356,75794400
2020-06-05,294.3522949,296.1312696,292.3428822,292.4074116,150524700
2020-06-08,297.9101563,298.1037162,294.619496,295.1633261,73641200
2020-06-09,295.6887817,297.9839348,294.3706552,295.2371042,77479200
2020-06-10,294.0389099,297.1636629,293.3199444,296.2695623,95000800
2020-06-11,277.0878296,287.7248546,276.5348009,287.0888435,209243600
2020-06-12,280.4061584,284.895086,275.2351434,284.1208178,194678900
2020-06-15,283.0238647,284.1576295,273.5206064,274.7004475,135782700
2020-06-16,288.4714966,290.9418133,283.5954488,290.7943296,137627500
2020-06-17,287.2732239,289.7896169,286.5358054,289.4946495,83398900
2020-06-18,287.3837891,287.8630899,285.2914225,285.7522984,80828700
2020-06-19,285.7414246,291.055554,283.7879548,290.8611422,135549600
2020-06-22,287.5744629,287.9725535,283.9915906,285.1395834,74649400
2020-06-23,288.8984375,291.1666789,288.4910796,290.2316036,68471200
2020-06-24,281.5289612,287.4726612,279.6866122,286.8523574,132813500
2020-06-25,284.5471497,284.8156419,278.9274872,280.9550094,89468000
2020-06-26,277.7887268,283.6583754,277.2054914,283.4454293,127961000
2020-06-29,281.8716125,282.0104782,276.7518933,279.0479083,79773300
2020-06-30,285.4821777,287.1856895,281.2790292,281.4364008,113394800
2020-07-01,287.481842,288.7502225,286.1394376,286.6023415,72396500
2020-07-02,289.065094,292.2776495,288.398511,290.9259492,69344200
2020-07-06,293.5274658,294.1107295,292.1480207,292.8979231,61713800
2020-07-07,290.5001221,293.962636,290.1205373,291.981421,82910000
2020-07-08,292.7220459,292.8331384,289.5002513,291.2685202,54638600
2020-07-09,291.0555725,293.5737718,287.630071,293.3330527,83354200
2020-07-10,294.0273132,294.2958054,289.5556737,290.9906646,57550400
2020-07-13,291.4815063,298.7676138,290.8241903,296.3790406,102997500
2020-07-14,295.258728,296.0364034,288.8521236,290.0556628,93657000
2020-07-15,297.971344,299.0730579,295.5827433,298.4897943,87196500
2020-07-16,296.9899597,297.4435966,295.4160748,296.0641517,54622500
2020-07-17,297.8510132,298.6379558,296.0179028,297.9991459,62774900
2020-07-20,300.2580872,301.0079895,296.8325859,297.5824882,56308800
2020-07-21,300.8970032,302.6745395,299.9063814,302.2301696,57292200
2020-07-22,302.6096497,302.9244493,300.4247559,300.5358484,57792900
2020-07-23,298.9989929,302.9522118,297.6288149,302.2485886,75738000
2020-07-24,297.0732727,298.100906,295.5642012,297.138086,73766600
2020-07-27,299.2396851,299.4155909,296.971444,297.7676536,48293000
2020-07-28,297.3417969,299.628544,297.0455315,298.5082959,57495000
2020-07-29,300.9987183,301.5634759,298.1842538,298.221294,48454200
2020-07-30,299.9248657,300.3414908,295.9253951,298.0177028,61861700
2020-07-31,302.2948303,302.3966839,297.4898843,301.7208339,84986800
2020-08-03,304.3965149,305.1649233,303.4151604,303.9613839,53077900
2020-08-04,305.5722351,305.5722351,303.5354459,303.5354459,41917900
2020-08-05,307.4702148,307.7294683,306.6092198,306.8777122,42697700
2020-08-06,309.5253906,309.6457502,306.5628218,306.8868603,43679400
2020-08-07,309.7476501,310.0346484,307.6460475,308.5533497,57308300
2020-08-10,310.6734924,310.8586371,308.2571181,310.2013212,44282100
2020-08-11,308.1089478,312.4972977,307.3775796,311.8584878,69601100
2020-08-12,312.4046326,313.1823078,310.5252436,310.5530167,53774400
2020-08-13,311.8399048,313.1545646,310.9140968,311.6362259,41816100
2020-08-14,311.8492126,312.3861972,310.7197256,311.4511219,47260400
2020-08-17,312.8398743,313.237965,311.8585198,312.8676474,35481000
2020-08-18,313.515686,313.9415499,311.6362684,313.2379266,38733900
2020-08-19,312.2102966,314.4136963,311.645539,313.895246,68054200
2020-08-20,313.182373,313.6637831,310.3494024,310.4790009,42207800
2020-08-21,314.2934265,314.5156115,312.5065949,312.8491678,55106600
2020-08-24,317.4781189,317.5521711,314.2655637,316.7374555,48588700
2020-08-25,318.5890808,318.6724001,316.8763302,318.0428574,38463400
2020-08-26,321.7831726,322.0516367,318.6354303,319.1816537,50790200
2020-08-27,322.4867859,323.9403117,320.8203423,322.6534529,58034100
2020-08-28,324.5698547,324.6994815,322.3201474,323.514448,48588900
2020-08-31,323.394104,325.2364535,323.1626519,324.3569526,66099200
